name,house,Dívida,Capacidade de pagamento anual,Dívida_sum,Dívida_porcentagem,Dívida_abc_class,Capacidade de pagamento anual_sum,Capacidade de pagamento anual_porcentagem,Capacidade de pagamento anual_abc_class
Daenerys Targaryen,House Targaryen,61115.0,1000000.0,58192944.0,63.755086974564534,B,1000000.0,1.0500416236499615,A
Cersei Lannister,House Lannister,54158.0,700000.0,65389256.0,71.63923006682847,B,1700000.0,1.7850707602049345,A
Tyrion Lannister,House Lannnister,12104.0,700000.0,89990984.0,98.59241718113874,C,2400000.0,2.5200998967599078,A
Jon Snow,House Starrkk,86084.0,500000.0,23556876.0,25.808467057948327,A,2900000.0,3.0451207085848884,A
Arya Stark,House Starrkk,9916.0,500000.0,90405786.0,99.04686639386846,C,3400000.0,3.570141520409869,A
Wendell Webber,House Webber,11056.0,79973.0,90185109.0,98.8050968534189,C,3479973.0,3.6541164991780275,A
Walda Frey (daughter of Lothar),House Frey,66305.0,79884.0,52338576.0,57.34115230542135,B,3559857.0,3.737998024241681,A
Larence Snow,House Hornwood,75115.0,79878.0,42105570.0,46.13006479726502,A,3639735.0,3.8218732490555927,A
Chiswyck,House Clegane,88251.0,79865.0,20064578.0,21.982371531124702,A,3719600.0,3.905734823328397,A
Kegs,Night's Watch,52257.0,79800.0,67091125.0,73.50376550112983,B,3799400.0,3.9895281448956634,A
Elbert Arryn,House Arryn,84757.0,79787.0,25948673.0,28.428874538286536,A,3879187.0,4.073307815921823,A
Clement Crabb,House Crabb,79800.0,79725.0,34163301.0,37.42866534803992,A,3958912.0,4.157022384367316,A
Jyanna Frey,House Frey,64466.0,79723.0,54362571.0,59.55860288260961,B,4038635.0,4.240734852729562,A
Goady,Night's Watch,61633.0,79709.0,57640598.0,63.149947161221306,B,4118344.0,4.324432620509077,A
Margot Lannister,House Lannister,14048.0,79700.0,89520735.0,98.07722128565867,C,4198044.0,4.40812093791398,A
Triston of Tally Hill,House Sunglass,53542.0,79671.0,66089900.0,72.4068423594495,B,4277715.0,4.491778804111795,A
Eddison Tollett,House Tollett,51147.0,79624.0,68074776.0,74.58143490135159,B,4357339.0,4.575387318353299,A
Jhiqui,House Targaryen,81500.0,79580.0,30772951.0,33.714262118600026,A,4436919.0,4.658949630763363,A
Elinor Tyrell,House Tyrell,16909.0,79561.0,88882048.0,97.37748790845535,C,4516480.0,4.742491992382578,A
Perwyn Frey,House Frey,27000.0,79560.0,85051942.0,93.18129633664208,C,4596040.0,4.826033303960169,A
Shierle Swyft,House Swyft,98804.0,79547.0,2684080.0,2.9406271978040697,A,4675587.0,4.909560964996652,A
Justin Massey,House Massey,52233.0,79477.0,67195592.0,73.61821756719084,B,4755064.0,4.993015123119481,A
Gareth the Grey,,76930.0,79431.0,38687823.0,42.385645933664364,A,4834495.0,5.0764209793276205,A
Alysanne Lefford,House Lefford,52404.0,79412.0,66934134.0,73.3317691357419,B,4913907.0,5.159806884744912,A
Lucos Chyttering,House Chyttering,14018.0,79397.0,89548787.0,98.10795452541039,C,4993304.0,5.243177039537848,A
Becca,House Arryn,72323.0,79395.0,45781900.0,50.15778229678182,B,5072699.0,5.326545094247536,A
Garigus,Alchemists' Guild,41384.0,79383.0,76320546.0,83.61534429631628,C,5152082.0,5.409900548457741,A
Gyloro Dothare,,55531.0,79319.0,64021197.0,70.14041054445931,B,5231401.0,5.493188800004032,A
Dagon Greyjoy,House Greyjoy,81426.0,79160.0,30935858.0,33.89273994150868,A,5310561.0,5.576310094932163,A
Donnel of Duskendale,Kingsguard,9298.0,79151.0,90472614.0,99.1200818846045,C,5389712.0,5.659421939485681,A
Hugo Vance,House Vance of Atranta,4822.0,79149.0,91099515.0,99.80690274349492,C,5468861.0,5.742531683955952,A
Bethany Rosby,House Rosby,49400.0,79100.0,69583910.0,76.23481352103909,B,5547961.0,5.825589976386664,A
Dancy,Chataya's brothel,80162.0,79057.0,33443595.0,36.640169089350614,A,5627018.0,5.908603117027559,A
Theon Greyjoy,House Greyjoy,44801.0,79046.0,73903871.0,80.96768095049457,C,5706064.0,5.991604707210594,A
Gerold Dayne,House Dayne of High Hermitage,610.0,79040.0,91273036.0,99.99700906372016,C,5785104.0,6.074599997143887,A
Gwynesse Harlaw,House Harlaw,99142.0,79021.0,1892961.0,2.0738922092420458,A,5864125.0,6.157575336286331,A
Arthor Karstark,House Karstark,18898.0,78944.0,88188256.0,96.61738253722241,C,5943069.0,6.240469822223753,A
Lem (Standfast),House Osgrey,42472.0,78942.0,75610744.0,82.8376986723946,C,6022011.0,6.323362208077928,A
Erren Florent,House Florent,45501.0,78932.0,73407934.0,80.42434176887653,C,6100943.0,6.406244093515867,A
Eustace Brune,House Brune of the Dyre Den,38394.0,78897.0,78607355.0,86.1207289128639,C,6179840.0,6.489089227496978,A
Mychel Redfort,House Redfort,44763.0,78837.0,73948634.0,81.01672244525453,C,6258677.0,6.57187135898067,A
Osney Kettleblack,House Kettleblack,78050.0,78751.0,35977603.0,39.41638024708552,A,6337428.0,6.654563186884728,A
Terrance Lynderly,House Lynderly,81647.0,78660.0,30528235.0,33.44615590517203,A,6416088.0,6.737159461001034,A
Loras Tyrell,House Tyrell,40641.0,78647.0,77222330.0,84.6033217623175,C,6494735.0,6.819742084576233,A
Bannen,Night's Watch,83619.0,78625.0,27966230.0,30.63927176464342,A,6573360.0,6.902301607235711,A
Horas Redwyne,House Redwyne,35707.0,78590.0,80647207.0,88.35555211883953,C,6651950.0,6.984824378438362,A
Osbert Serry,House Serry,88611.0,78549.0,19622729.0,21.498290137603444,A,6730499.0,7.067304097934442,A
Valarr Targaryen,House Targaryen,45146.0,78549.0,73589336.0,80.62308236339534,C,6809048.0,7.1497838174305235,A
Alysanne Osgrey,House Osgrey,29848.0,78526.0,83451000.0,91.4273346114674,C,6887574.0,7.232239385969259,A
Rat Cook,Night's Watch,18967.0,78525.0,88169358.0,96.59667824644714,C,6966099.0,7.314693904466372,A
Raynard Ruttiger,House Ruttiger,23434.0,78520.0,86292761.0,94.54071412558729,C,7044619.0,7.397143172755367,A
Orland of Oldtown,House Baratheon of King's Landing,863.0,78478.0,91270310.0,99.99402250976453,C,7123097.0,7.47954833929617,A
Jorquen,Night's Watch,3361.0,78429.0,91185277.0,99.90086196592422,C,7201526.0,7.561902053797412,A
Rolland Darklyn,House Darklyn,53598.0,78424.0,66036358.0,72.34818275860869,B,7279950.0,7.644250518090537,A
Ben,,63436.0,78417.0,55576508.0,60.888569261637315,B,7358367.0,7.726591632092296,A
Walder Vance,House Vance,96585.0,78386.0,6402309.0,7.014248447939621,A,7436753.0,7.808900194803722,A
Fogo,,68579.0,78371.0,49575163.0,54.31360937578985,B,7515124.0,7.891193006890792,A
Garizon,,73576.0,78366.0,43961198.0,48.16305567898493,A,7593490.0,7.973480568769746,A
Falia Flowers,House Hewett,98745.0,78300.0,2980356.0,3.2652215704220984,A,7671790.0,8.055698827901537,A
Normund Tyrell,,25674.0,78297.0,85631131.0,93.81584483224167,C,7750087.0,8.137913936908458,A
Dareon,Night's Watch,80584.0,78288.0,32800256.0,35.93533906907996,A,7828375.0,8.220119595540767,A
Eddard Karstark,House Karstark,10321.0,78272.0,90345201.0,98.98049061565804,C,7906647.0,8.302308453507097,A
